date, total
2019-05-03 04:00:00, 22
2019-05-03 05:00:00, 70
2019-05-03 06:00:00, 31
2019-05-03 07:00:00, 49
2019-05-03 08:00:00, 38
2019-05-03 09:00:00, 73
2019-05-03 10:00:00, 61
2019-05-03 11:00:00, 47
2019-05-03 12:00:00, 61
2019-05-03 13:00:00, 40
2019-05-03 14:00:00, 91
2019-05-03 15:00:00, 112
2019-05-03 16:00:00, 92
2019-05-03 17:00:00, 94
2019-05-03 18:00:00, 116
2019-05-03 19:00:00, 85
2019-05-03 20:00:00, 78
2019-05-03 21:00:00, 49
2019-05-03 22:00:00, 49
2019-05-03 23:00:00, 47
2019-05-04 00:00:00, 34
2019-05-04 01:00:00, 51
2019-05-04 02:00:00, 27
2019-05-04 03:00:00, 44
2019-05-04 04:00:00, 82
2019-05-04 05:00:00, 101
2019-05-04 06:00:00, 206
2019-05-04 07:00:00, 159
2019-05-04 08:00:00, 102
2019-05-04 09:00:00, 113
2019-05-04 10:00:00, 149
2019-05-04 11:00:00, 58
2019-05-04 12:00:00, 59
2019-05-04 13:00:00, 85
2019-05-04 14:00:00, 96
2019-05-04 15:00:00, 52
2019-05-04 16:00:00, 40
2019-05-04 17:00:00, 18
2019-05-04 18:00:00, 9
2019-05-04 19:00:00, 9
2019-05-04 20:00:00, 2
2019-05-04 21:00:00, 1
2019-05-04 22:00:00, 4
2019-05-04 23:00:00, 10
2019-05-05 00:00:00, 5
2019-05-05 01:00:00, 34
2019-05-05 02:00:00, 11
2019-05-05 03:00:00, 13
2019-05-05 04:00:00, 11
2019-05-05 05:00:00, 13
2019-05-05 06:00:00, 23
2019-05-05 07:00:00, 25
2019-05-05 08:00:00, 46
2019-05-05 09:00:00, 64
2019-05-05 10:00:00, 67
2019-05-05 11:00:00, 51
2019-05-05 12:00:00, 40
2019-05-05 13:00:00, 51
2019-05-05 14:00:00, 47
2019-05-05 15:00:00, 60
2019-05-05 16:00:00, 52
2019-05-05 17:00:00, 61
2019-05-05 18:00:00, 101
2019-05-05 19:00:00, 94
2019-05-05 20:00:00, 65
2019-05-05 21:00:00, 57
2019-05-05 22:00:00, 36
2019-05-05 23:00:00, 32
2019-05-06 00:00:00, 46
2019-05-06 01:00:00, 40
2019-05-06 02:00:00, 35
2019-05-06 03:00:00, 44
2019-05-06 04:00:00, 40
2019-05-06 05:00:00, 118
2019-05-06 06:00:00, 245
2019-05-06 07:00:00, 124
2019-05-06 08:00:00, 102
2019-05-06 09:00:00, 87
2019-05-06 10:00:00, 51
2019-05-06 11:00:00, 66
2019-05-06 12:00:00, 83
2019-05-06 13:00:00, 91
2019-05-06 14:00:00, 94
2019-05-06 15:00:00, 120
2019-05-06 16:00:00, 111
2019-05-06 17:00:00, 176
2019-05-06 18:00:00, 219
2019-05-06 19:00:00, 127
2019-05-06 20:00:00, 84
2019-05-06 21:00:00, 99
2019-05-06 22:00:00, 75
2019-05-06 23:00:00, 39
2019-05-07 00:00:00, 23
2019-05-07 01:00:00, 20
2019-05-07 02:00:00, 18
2019-05-07 03:00:00, 20
2019-05-07 04:00:00, 61
2019-05-07 05:00:00, 186
2019-05-07 06:00:00, 258
2019-05-07 07:00:00, 203
2019-05-07 08:00:00, 176
2019-05-07 09:00:00, 163
